trial_no,module,scenario,expected_label,predicted_label,event_id,alert_id,event_timestamp,alert_timestamp,event_code,alert_type,source_node,location,event_severity,alert_severity,event_title,alert_title,snapshot_path,acknowledged,review_status,correct,remarks
1,fire,Smoke warning / high smoke,SMOKE,SMOKE,7711,5321,2026-05-03T06:51:19+00:00,2026-05-03T06:51:20+00:00,SMOKE_HIGH,SMOKE_WARNING,smoke_node1,Living Room,warning,warning,Smoke level is high,Smoke warning,/snapshots/2026-05-03/smoke_warning_cam_indoor_145120.jpg,False,needs_review,YES,Correct smoke warning alert created
2,fire,Smoke warning / high smoke,SMOKE,SMOKE,7706,5316,2026-05-03T06:48:05+00:00,2026-05-03T06:48:05+00:00,SMOKE_HIGH,SMOKE_WARNING,smoke_node1,Living Room,warning,warning,Smoke level is high,Smoke warning,/snapshots/2026-05-03/smoke_warning_cam_indoor_144805.jpg,False,needs_review,YES,Correct smoke warning alert created
3,fire,Smoke warning / high smoke,SMOKE,SMOKE,7702,5312,2026-05-03T06:45:55+00:00,2026-05-03T06:45:55+00:00,SMOKE_HIGH,SMOKE_WARNING,smoke_node1,Living Room,warning,warning,Smoke level is high,Smoke warning,/snapshots/2026-05-03/smoke_warning_cam_indoor_144555.jpg,False,needs_review,YES,Correct smoke warning alert created
4,fire,Smoke warning / high smoke,SMOKE,SMOKE,7541,5153,2026-05-02T10:48:11+00:00,2026-05-02T10:48:11+00:00,SMOKE_HIGH,SMOKE_WARNING,smoke_node1,Living Room,warning,warning,Smoke level is high,Smoke warning,/snapshots/2026-05-02/smoke_warning_cam_indoor_184811.jpg,True,resolved,YES,Correct smoke warning alert created
5,fire,Smoke warning / high smoke,SMOKE,SMOKE,7515,5128,2026-05-02T10:33:08+00:00,2026-05-02T10:33:08+00:00,SMOKE_HIGH,SMOKE_WARNING,smoke_node1,Living Room,warning,warning,Smoke level is high,Smoke warning,/snapshots/2026-05-02/smoke_warning_cam_indoor_183308.jpg,True,confirmed,YES,Correct smoke warning alert created
6,fire,Smoke warning / high smoke,SMOKE,SMOKE,7492,5105,2026-05-02T09:51:23+00:00,2026-05-02T09:51:23+00:00,SMOKE_WARNING,SMOKE_WARNING,smoke_warning_ef5835df,Living Room,warning,warning,Smoke level warning,Smoke warning,,True,resolved,YES,Correct smoke warning alert created
7,fire,Smoke warning / high smoke,SMOKE,SMOKE,7484,5098,2026-05-02T08:58:29+00:00,2026-05-02T08:58:29+00:00,SMOKE_HIGH,SMOKE_WARNING,smoke_node2,Door Entrance Area,warning,warning,Smoke level is high,Smoke warning,/snapshots/2026-05-02/smoke_warning_cam_door_165829.jpg,True,resolved,YES,Correct smoke warning alert created
8,fire,Smoke warning / high smoke,SMOKE,SMOKE,7482,5097,2026-05-02T08:57:07+00:00,2026-05-02T08:57:07+00:00,SMOKE_HIGH,SMOKE_WARNING,smoke_node2,Door Entrance Area,warning,warning,Smoke level is high,Smoke warning,/snapshots/2026-05-02/smoke_warning_cam_door_165707.jpg,True,resolved,YES,Correct smoke warning alert created
9,fire,Smoke warning / high smoke,SMOKE,SMOKE,7480,5096,2026-05-02T08:40:52+00:00,2026-05-02T08:40:52+00:00,SMOKE_HIGH,SMOKE_WARNING,smoke_node1,Living Room,warning,warning,Smoke level is high,Smoke warning,/snapshots/2026-05-02/smoke_warning_cam_indoor_164052.jpg,True,resolved,YES,Correct smoke warning alert created
10,fire,Smoke warning / high smoke,SMOKE,SMOKE,7479,5095,2026-05-02T08:36:34+00:00,2026-05-02T08:36:34+00:00,SMOKE_HIGH,SMOKE_WARNING,smoke_node1,Living Room,warning,warning,Smoke level is high,Smoke warning,/snapshots/2026-05-02/smoke_warning_cam_indoor_163634.jpg,True,resolved,YES,Correct smoke warning alert created
